date,market,category,commodity,unit,price,H-date
6/15/2016,Irbid,"meat, fish and eggs",Meat (beef),KG,8.77,6/15/2016
6/15/2016,Irbid,"meat, fish and eggs",Meat (chicken),KG,2.5,6/15/2016
6/15/2016,Irbid,"meat, fish and eggs","Meat (chicken, whole)",KG,1.39,6/15/2016
6/15/2016,Irbid,"meat, fish and eggs",Meat (lamb),KG,11.38,6/15/2016
6/15/2016,Irbid,milk and dairy,Cheese (picon),160 G,0.72,6/15/2016
6/15/2016,Irbid,milk and dairy,"Cheese (white, boiled)",KG,5.61,6/15/2016
6/15/2016,Irbid,milk and dairy,Milk (pasteurized),L,1.13,6/15/2016
6/15/2016,Irbid,milk and dairy,Milk (powder),0.8 KG,3.51,6/15/2016
6/15/2016,Irbid,miscellaneous food,Sugar,KG,0.65,6/15/2016
6/15/2016,Irbid,non-food,Fuel (gas),12.5 KG,7,6/15/2016
6/15/2016,Irbid,non-food,Fuel (kerosene),L,0.41,6/15/2016
6/15/2016,Irbid,non-food,Fuel (petrol-gasoline),L,0.56,6/15/2016
6/15/2016,Irbid,oil and fats,Oil (olive),L,5.67,6/15/2016
6/15/2016,Irbid,oil and fats,Oil (vegetable),1.8 L,1.88,6/15/2016
6/15/2016,Irbid,pulses and nuts,"Beans (fava, dry)",KG,1.38,6/15/2016
6/15/2016,Irbid,pulses and nuts,Chickpeas,KG,1.49,6/15/2016
6/15/2016,Irbid,pulses and nuts,Lentils,KG,1.27,6/15/2016
6/15/2016,Irbid,vegetables and fruits,Apples (red),KG,1.34,6/15/2016
6/15/2016,Irbid,vegetables and fruits,Bananas,KG,0.82,6/15/2016
6/15/2016,Irbid,vegetables and fruits,Cucumbers,KG,0.5,6/15/2016
6/15/2016,Irbid,vegetables and fruits,Garlic,KG,2.49,6/15/2016
6/15/2016,Irbid,vegetables and fruits,Onions,KG,0.5,6/15/2016
6/15/2016,Irbid,vegetables and fruits,Oranges (big size),KG,0.95,6/15/2016
6/15/2016,Irbid,vegetables and fruits,Spinach,KG,0.6,6/15/2016
6/15/2016,Irbid,vegetables and fruits,Tomatoes,KG,0.36,6/15/2016
6/15/2016,Jarash,cereals and tubers,Bread (pita),KG,0.17,6/15/2016
6/15/2016,Jarash,cereals and tubers,Bulgur,KG,0.81,6/15/2016
6/15/2016,Jarash,cereals and tubers,Pasta,300 G,0.35,6/15/2016
6/15/2016,Jarash,cereals and tubers,Potatoes,KG,0.54,6/15/2016
6/15/2016,Jarash,cereals and tubers,Rice (imported),KG,1.23,6/15/2016
6/15/2016,Jarash,cereals and tubers,Wheat flour,1.5 KG,0.88,6/15/2016
6/15/2016,Jarash,"meat, fish and eggs",Eggs,2 KG,2.05,6/15/2016
6/15/2016,Jarash,"meat, fish and eggs","Fish (tuna, canned)",170 G,1,6/15/2016
6/15/2016,Jarash,"meat, fish and eggs",Meat (beef),KG,8,6/15/2016
6/15/2016,Jarash,"meat, fish and eggs",Meat (chicken),KG,1.95,6/15/2016
6/15/2016,Jarash,"meat, fish and eggs","Meat (chicken, whole)",KG,1.25,6/15/2016
6/15/2016,Jarash,"meat, fish and eggs",Meat (lamb),KG,11.22,6/15/2016
6/15/2016,Jarash,milk and dairy,Cheese (picon),160 G,0.76,6/15/2016
6/15/2016,Jarash,milk and dairy,"Cheese (white, boiled)",KG,6,6/15/2016
6/15/2016,Jarash,milk and dairy,Milk (pasteurized),L,1.2,6/15/2016
6/15/2016,Jarash,milk and dairy,Milk (powder),0.8 KG,3.29,6/15/2016
6/15/2016,Jarash,miscellaneous food,Sugar,KG,0.69,6/15/2016
6/15/2016,Jarash,non-food,Fuel (gas),12.5 KG,7,6/15/2016
6/15/2016,Jarash,non-food,Fuel (kerosene),L,0.41,6/15/2016
6/15/2016,Jarash,non-food,Fuel (petrol-gasoline),L,0.56,6/15/2016
6/15/2016,Jarash,oil and fats,Oil (olive),L,5.95,6/15/2016
6/15/2016,Jarash,oil and fats,Oil (vegetable),1.8 L,1.76,6/15/2016
6/15/2016,Jarash,pulses and nuts,"Beans (fava, dry)",KG,1.48,6/15/2016
6/15/2016,Jarash,pulses and nuts,Chickpeas,KG,1.45,6/15/2016
6/15/2016,Jarash,pulses and nuts,Lentils,KG,1.32,6/15/2016
6/15/2016,Jarash,vegetables and fruits,Apples (red),KG,1.32,6/15/2016
6/15/2016,Jarash,vegetables and fruits,Bananas,KG,0.77,6/15/2016
6/15/2016,Jarash,vegetables and fruits,Cucumbers,KG,0.54,6/15/2016
6/15/2016,Jarash,vegetables and fruits,Garlic,KG,1.96,6/15/2016
6/15/2016,Jarash,vegetables and fruits,Onions,KG,0.55,6/15/2016
6/15/2016,Jarash,vegetables and fruits,Tomatoes,KG,0.4,6/15/2016
6/15/2016,Maan,cereals and tubers,Bread (pita),KG,0.17,6/15/2016
6/15/2016,Maan,cereals and tubers,Bulgur,KG,0.95,6/15/2016
6/15/2016,Maan,cereals and tubers,Pasta,300 G,0.35,6/15/2016
6/15/2016,Maan,cereals and tubers,Potatoes,KG,0.49,6/15/2016
6/15/2016,Maan,cereals and tubers,Rice (imported),KG,1.06,6/15/2016
6/15/2016,Maan,cereals and tubers,Wheat flour,1.5 KG,0.91,6/15/2016
6/15/2016,Maan,"meat, fish and eggs",Eggs,2 KG,1.86,6/15/2016
6/15/2016,Maan,"meat, fish and eggs","Fish (tuna, canned)",170 G,0.96,6/15/2016
6/15/2016,Maan,"meat, fish and eggs",Meat (beef),KG,7.5,6/15/2016
6/15/2016,Maan,"meat, fish and eggs",Meat (chicken),KG,2.5,6/15/2016
6/15/2016,Maan,"meat, fish and eggs","Meat (chicken, whole)",KG,1.5,6/15/2016
6/15/2016,Maan,"meat, fish and eggs",Meat (lamb),KG,10.78,6/15/2016
6/15/2016,Maan,milk and dairy,Cheese (picon),160 G,0.7,6/15/2016
6/15/2016,Maan,milk and dairy,"Cheese (white, boiled)",KG,4.2,6/15/2016
6/15/2016,Maan,milk and dairy,Milk (pasteurized),L,1.1,6/15/2016
6/15/2016,Maan,milk and dairy,Milk (powder),0.8 KG,4.11,6/15/2016
6/15/2016,Maan,miscellaneous food,Sugar,KG,0.71,6/15/2016
6/15/2016,Maan,non-food,Fuel (gas),12.5 KG,7,6/15/2016
6/15/2016,Maan,non-food,Fuel (kerosene),L,0.41,6/15/2016
6/15/2016,Maan,non-food,Fuel (petrol-gasoline),L,0.56,6/15/2016
6/15/2016,Maan,oil and fats,Oil (olive),L,5,6/15/2016
6/15/2016,Maan,oil and fats,Oil (vegetable),1.8 L,1.82,6/15/2016
6/15/2016,Maan,pulses and nuts,"Beans (fava, dry)",KG,1.17,6/15/2016
6/15/2016,Maan,pulses and nuts,Chickpeas,KG,1.49,6/15/2016
6/15/2016,Maan,pulses and nuts,Lentils,KG,1.2,6/15/2016
6/15/2016,Maan,vegetables and fruits,Apples (red),KG,1.23,6/15/2016
6/15/2016,Maan,vegetables and fruits,Bananas,KG,0.87,6/15/2016
6/15/2016,Maan,vegetables and fruits,Cucumbers,KG,0.47,6/15/2016
6/15/2016,Maan,vegetables and fruits,Garlic,KG,1.91,6/15/2016
6/15/2016,Maan,vegetables and fruits,Onions,KG,0.48,6/15/2016
6/15/2016,Maan,vegetables and fruits,Oranges (big size),KG,1,6/15/2016
6/15/2016,Maan,vegetables and fruits,Tomatoes,KG,0.33,6/15/2016
6/15/2016,Madaba,cereals and tubers,Bread (pita),KG,0.16,6/15/2016
6/15/2016,Madaba,cereals and tubers,Bulgur,KG,0.93,6/15/2016
6/15/2016,Madaba,cereals and tubers,Pasta,300 G,0.33,6/15/2016
6/15/2016,Madaba,cereals and tubers,Potatoes,KG,0.54,6/15/2016
6/15/2016,Madaba,cereals and tubers,Rice (imported),KG,1.21,6/15/2016
6/15/2016,Madaba,cereals and tubers,Wheat flour,1.5 KG,0.81,6/15/2016
6/15/2016,Madaba,"meat, fish and eggs",Eggs,2 KG,1.94,6/15/2016
6/15/2016,Madaba,"meat, fish and eggs","Fish (tuna, canned)",170 G,0.91,6/15/2016
6/15/2016,Madaba,"meat, fish and eggs",Meat (beef),KG,9,6/15/2016
6/15/2016,Madaba,"meat, fish and eggs","Meat (chicken, whole)",KG,1.45,6/15/2016
6/15/2016,Madaba,"meat, fish and eggs",Meat (lamb),KG,12,6/15/2016
6/15/2016,Madaba,milk and dairy,Cheese (picon),160 G,0.71,6/15/2016
6/15/2016,Madaba,milk and dairy,"Cheese (white, boiled)",KG,4.5,6/15/2016
6/15/2016,Madaba,milk and dairy,Milk (pasteurized),L,1.21,6/15/2016
6/15/2016,Madaba,milk and dairy,Milk (powder),0.8 KG,3.31,6/15/2016
6/15/2016,Madaba,miscellaneous food,Sugar,KG,0.66,6/15/2016
6/15/2016,Madaba,non-food,Fuel (gas),12.5 KG,7,6/15/2016
6/15/2016,Madaba,non-food,Fuel (kerosene),L,0.41,6/15/2016
6/15/2016,Madaba,non-food,Fuel (petrol-gasoline),L,0.56,6/15/2016
6/15/2016,Madaba,oil and fats,Oil (olive),L,4.42,6/15/2016
6/15/2016,Madaba,oil and fats,Oil (vegetable),1.8 L,1.8,6/15/2016
6/15/2016,Madaba,pulses and nuts,"Beans (fava, dry)",KG,1.24,6/15/2016
6/15/2016,Madaba,pulses and nuts,Chickpeas,KG,1.59,6/15/2016
6/15/2016,Madaba,pulses and nuts,Lentils,KG,1.27,6/15/2016
6/15/2016,Madaba,vegetables and fruits,Apples (red),KG,1.4,6/15/2016
6/15/2016,Madaba,vegetables and fruits,Bananas,KG,0.78,6/15/2016
6/15/2016,Madaba,vegetables and fruits,Cucumbers,KG,0.47,6/15/2016
6/15/2016,Madaba,vegetables and fruits,Garlic,KG,2.5,6/15/2016
6/15/2016,Madaba,vegetables and fruits,Onions,KG,0.5,6/15/2016
6/15/2016,Madaba,vegetables and fruits,Spinach,KG,0.57,6/15/2016
6/15/2016,Madaba,vegetables and fruits,Tomatoes,KG,0.31,6/15/2016
6/15/2016,Zarqa,cereals and tubers,Bread (pita),KG,0.17,6/15/2016
6/15/2016,Zarqa,cereals and tubers,Bulgur,KG,0.9,6/15/2016
6/15/2016,Zarqa,cereals and tubers,Pasta,300 G,0.3,6/15/2016
6/15/2016,Zarqa,cereals and tubers,Potatoes,KG,0.56,6/15/2016
6/15/2016,Zarqa,cereals and tubers,Rice (imported),KG,1.15,6/15/2016
6/15/2016,Zarqa,cereals and tubers,Wheat flour,1.5 KG,0.75,6/15/2016
6/15/2016,Zarqa,"meat, fish and eggs",Eggs,2 KG,1.78,6/15/2016
6/15/2016,Zarqa,"meat, fish and eggs","Fish (tuna, canned)",170 G,1,6/15/2016
6/15/2016,Zarqa,"meat, fish and eggs",Meat (beef),KG,9.5,6/15/2016
6/15/2016,Zarqa,"meat, fish and eggs",Meat (chicken),KG,2.07,6/15/2016
6/15/2016,Zarqa,"meat, fish and eggs","Meat (chicken, whole)",KG,1.32,6/15/2016
6/15/2016,Zarqa,"meat, fish and eggs",Meat (lamb),KG,10,6/15/2016
6/15/2016,Zarqa,milk and dairy,Cheese (picon),160 G,0.7,6/15/2016
6/15/2016,Zarqa,milk and dairy,"Cheese (white, boiled)",KG,4,6/15/2016
6/15/2016,Zarqa,milk and dairy,Milk (pasteurized),L,1.2,6/15/2016
6/15/2016,Zarqa,milk and dairy,Milk (powder),0.8 KG,4.2,6/15/2016
6/15/2016,Zarqa,miscellaneous food,Sugar,KG,0.62,6/15/2016
6/15/2016,Zarqa,non-food,Fuel (gas),12.5 KG,7,6/15/2016
6/15/2016,Zarqa,non-food,Fuel (kerosene),L,0.41,6/15/2016
6/15/2016,Zarqa,non-food,Fuel (petrol-gasoline),L,0.56,6/15/2016
6/15/2016,Zarqa,oil and fats,Oil (olive),L,5.25,6/15/2016
6/15/2016,Zarqa,oil and fats,Oil (vegetable),1.8 L,1.86,6/15/2016
6/15/2016,Zarqa,pulses and nuts,"Beans (fava, dry)",KG,1.35,6/15/2016
6/15/2016,Zarqa,pulses and nuts,Chickpeas,KG,1.7,6/15/2016
6/15/2016,Zarqa,pulses and nuts,Lentils,KG,1.1,6/15/2016
6/15/2016,Zarqa,vegetables and fruits,Apples (red),KG,1.3,6/15/2016
6/15/2016,Zarqa,vegetables and fruits,Bananas,KG,0.79,6/15/2016
6/15/2016,Zarqa,vegetables and fruits,Cucumbers,KG,0.45,6/15/2016
6/15/2016,Zarqa,vegetables and fruits,Garlic,KG,2.48,6/15/2016
6/15/2016,Zarqa,vegetables and fruits,Onions,KG,0.43,6/15/2016
6/15/2016,Zarqa,vegetables and fruits,Oranges (big size),KG,1.12,6/15/2016
6/15/2016,Zarqa,vegetables and fruits,Spinach,KG,0.41,6/15/2016
6/15/2016,Zarqa,vegetables and fruits,Tomatoes,KG,0.33,6/15/2016
7/15/2016,National Average,cereals and tubers,Bread (pita),KG,0.17,7/15/2016
7/15/2016,National Average,cereals and tubers,Potatoes,KG,0.65,7/15/2016
7/15/2016,National Average,cereals and tubers,Rice (imported),KG,1.21,7/15/2016
7/15/2016,National Average,"meat, fish and eggs",Eggs,2 KG,2,7/15/2016
7/15/2016,National Average,"meat, fish and eggs",Meat (beef),KG,8.44,7/15/2016
7/15/2016,National Average,"meat, fish and eggs",Meat (chicken),KG,2.07,7/15/2016
7/15/2016,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.49,7/15/2016
7/15/2016,National Average,"meat, fish and eggs",Meat (lamb),KG,11,7/15/2016
7/15/2016,National Average,milk and dairy,"Cheese (white, boiled)",KG,5.18,7/15/2016
7/15/2016,National Average,milk and dairy,Milk (pasteurized),L,1.16,7/15/2016
7/15/2016,National Average,miscellaneous food,Sugar,KG,0.71,7/15/2016
7/15/2016,National Average,oil and fats,Oil (olive),KG,5.39,7/15/2016
7/15/2016,National Average,oil and fats,Oil (vegetable),1.8 L,1.82,7/15/2016
7/15/2016,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.42,7/15/2016
7/15/2016,National Average,pulses and nuts,Chickpeas,KG,1.56,7/15/2016
7/15/2016,National Average,pulses and nuts,Lentils,KG,1.28,7/15/2016
7/15/2016,National Average,vegetables and fruits,Apples (red),KG,1.43,7/15/2016
7/15/2016,National Average,vegetables and fruits,Bananas,KG,0.8,7/15/2016
7/15/2016,National Average,vegetables and fruits,Cucumbers,KG,0.66,7/15/2016
7/15/2016,National Average,vegetables and fruits,Garlic,KG,2.25,7/15/2016
7/15/2016,National Average,vegetables and fruits,Onions,KG,0.54,7/15/2016
7/15/2016,National Average,vegetables and fruits,Oranges (big size),KG,0.75,7/15/2016
7/15/2016,National Average,vegetables and fruits,Tomatoes,KG,0.65,7/15/2016
7/15/2016,Ajloun,non-food,Fuel (gas),12.5 KG,7,7/15/2016
7/15/2016,Ajloun,non-food,Fuel (kerosene),L,0.44,7/15/2016
7/15/2016,Ajloun,non-food,Fuel (petrol-gasoline),L,0.58,7/15/2016
7/15/2016,Al Aqaba,non-food,Fuel (gas),12.5 KG,7,7/15/2016
7/15/2016,Al Aqaba,non-food,Fuel (kerosene),L,0.44,7/15/2016
7/15/2016,Al Aqaba,non-food,Fuel (petrol-gasoline),L,0.58,7/15/2016
7/15/2016,Al Balqa,non-food,Fuel (gas),12.5 KG,7,7/15/2016
7/15/2016,Al Balqa,non-food,Fuel (kerosene),L,0.44,7/15/2016
7/15/2016,Al Balqa,non-food,Fuel (petrol-gasoline),L,0.58,7/15/2016
7/15/2016,Al Karak,non-food,Fuel (gas),12.5 KG,7,7/15/2016
7/15/2016,Al Karak,non-food,Fuel (kerosene),L,0.44,7/15/2016
7/15/2016,Al Karak,non-food,Fuel (petrol-gasoline),L,0.58,7/15/2016
7/15/2016,Al Mafraq,non-food,Fuel (gas),12.5 KG,7,7/15/2016
7/15/2016,Al Mafraq,non-food,Fuel (kerosene),L,0.44,7/15/2016
7/15/2016,Al Mafraq,non-food,Fuel (petrol-gasoline),L,0.58,7/15/2016
7/15/2016,Al Tafilah,non-food,Fuel (gas),12.5 KG,7,7/15/2016
7/15/2016,Al Tafilah,non-food,Fuel (kerosene),L,0.44,7/15/2016
7/15/2016,Al Tafilah,non-food,Fuel (petrol-gasoline),L,0.58,7/15/2016
7/15/2016,Amman,non-food,Fuel (gas),12.5 KG,7,7/15/2016
7/15/2016,Amman,non-food,Fuel (kerosene),L,0.44,7/15/2016
7/15/2016,Amman,non-food,Fuel (petrol-gasoline),L,0.58,7/15/2016
7/15/2016,Irbid,non-food,Fuel (gas),12.5 KG,7,7/15/2016
7/15/2016,Irbid,non-food,Fuel (kerosene),L,0.44,7/15/2016
7/15/2016,Irbid,non-food,Fuel (petrol-gasoline),L,0.58,7/15/2016
7/15/2016,Jarash,non-food,Fuel (gas),12.5 KG,7,7/15/2016
7/15/2016,Jarash,non-food,Fuel (kerosene),L,0.44,7/15/2016
7/15/2016,Jarash,non-food,Fuel (petrol-gasoline),L,0.58,7/15/2016
7/15/2016,Maan,non-food,Fuel (gas),12.5 KG,7,7/15/2016
7/15/2016,Maan,non-food,Fuel (kerosene),L,0.44,7/15/2016
7/15/2016,Maan,non-food,Fuel (petrol-gasoline),L,0.58,7/15/2016
7/15/2016,Madaba,non-food,Fuel (gas),12.5 KG,7,7/15/2016
7/15/2016,Madaba,non-food,Fuel (kerosene),L,0.44,7/15/2016
7/15/2016,Madaba,non-food,Fuel (petrol-gasoline),L,0.58,7/15/2016
7/15/2016,Zarqa,non-food,Fuel (gas),12.5 KG,7,7/15/2016
7/15/2016,Zarqa,non-food,Fuel (kerosene),L,0.44,7/15/2016
7/15/2016,Zarqa,non-food,Fuel (petrol-gasoline),L,0.58,7/15/2016
8/15/2016,National Average,cereals and tubers,Bread (pita),KG,0.17,8/15/2016
8/15/2016,National Average,cereals and tubers,Potatoes,KG,0.69,8/15/2016
8/15/2016,National Average,cereals and tubers,Rice (imported),KG,1.22,8/15/2016
8/15/2016,National Average,"meat, fish and eggs",Eggs,2 KG,2.34,8/15/2016
8/15/2016,National Average,"meat, fish and eggs",Meat (beef),KG,8.31,8/15/2016
8/15/2016,National Average,"meat, fish and eggs",Meat (chicken),KG,2.05,8/15/2016
8/15/2016,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.39,8/15/2016
8/15/2016,National Average,"meat, fish and eggs",Meat (lamb),KG,10.88,8/15/2016
8/15/2016,National Average,milk and dairy,"Cheese (white, boiled)",KG,5.18,8/15/2016
8/15/2016,National Average,milk and dairy,Milk (pasteurized),L,1.16,8/15/2016
8/15/2016,National Average,miscellaneous food,Sugar,KG,0.72,8/15/2016
8/15/2016,National Average,oil and fats,Oil (olive),KG,5.4,8/15/2016
8/15/2016,National Average,oil and fats,Oil (vegetable),1.8 L,1.87,8/15/2016
8/15/2016,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.43,8/15/2016
8/15/2016,National Average,pulses and nuts,Chickpeas,KG,1.58,8/15/2016
8/15/2016,National Average,pulses and nuts,Lentils,KG,1.28,8/15/2016
8/15/2016,National Average,vegetables and fruits,Apples (red),KG,1.49,8/15/2016
8/15/2016,National Average,vegetables and fruits,Bananas,KG,0.8,8/15/2016
8/15/2016,National Average,vegetables and fruits,Cucumbers,KG,0.69,8/15/2016
8/15/2016,National Average,vegetables and fruits,Garlic,KG,2.64,8/15/2016
8/15/2016,National Average,vegetables and fruits,Onions,KG,0.55,8/15/2016
8/15/2016,National Average,vegetables and fruits,Oranges (big size),KG,0.88,8/15/2016
8/15/2016,National Average,vegetables and fruits,Tomatoes,KG,0.68,8/15/2016
8/15/2016,Ajloun,non-food,Fuel (gas),12.5 KG,7,8/15/2016
8/15/2016,Ajloun,non-food,Fuel (kerosene),L,0.42,8/15/2016
8/15/2016,Ajloun,non-food,Fuel (petrol-gasoline),L,0.56,8/15/2016
8/15/2016,Al Aqaba,non-food,Fuel (gas),12.5 KG,7,8/15/2016
8/15/2016,Al Aqaba,non-food,Fuel (kerosene),L,0.42,8/15/2016
8/15/2016,Al Aqaba,non-food,Fuel (petrol-gasoline),L,0.56,8/15/2016
8/15/2016,Al Balqa,non-food,Fuel (gas),12.5 KG,7,8/15/2016
8/15/2016,Al Balqa,non-food,Fuel (kerosene),L,0.42,8/15/2016
8/15/2016,Al Balqa,non-food,Fuel (petrol-gasoline),L,0.56,8/15/2016
8/15/2016,Al Karak,non-food,Fuel (gas),12.5 KG,7,8/15/2016
8/15/2016,Al Karak,non-food,Fuel (kerosene),L,0.42,8/15/2016
8/15/2016,Al Karak,non-food,Fuel (petrol-gasoline),L,0.56,8/15/2016
8/15/2016,Al Mafraq,non-food,Fuel (gas),12.5 KG,7,8/15/2016
8/15/2016,Al Mafraq,non-food,Fuel (kerosene),L,0.42,8/15/2016
8/15/2016,Al Mafraq,non-food,Fuel (petrol-gasoline),L,0.56,8/15/2016
8/15/2016,Al Tafilah,non-food,Fuel (gas),12.5 KG,7,8/15/2016
8/15/2016,Al Tafilah,non-food,Fuel (kerosene),L,0.42,8/15/2016
8/15/2016,Al Tafilah,non-food,Fuel (petrol-gasoline),L,0.56,8/15/2016
8/15/2016,Amman,non-food,Fuel (gas),12.5 KG,7,8/15/2016
8/15/2016,Amman,non-food,Fuel (kerosene),L,0.42,8/15/2016
8/15/2016,Amman,non-food,Fuel (petrol-gasoline),L,0.56,8/15/2016
8/15/2016,Irbid,non-food,Fuel (gas),12.5 KG,7,8/15/2016
8/15/2016,Irbid,non-food,Fuel (kerosene),L,0.42,8/15/2016
8/15/2016,Irbid,non-food,Fuel (petrol-gasoline),L,0.56,8/15/2016
8/15/2016,Jarash,non-food,Fuel (gas),12.5 KG,7,8/15/2016
8/15/2016,Jarash,non-food,Fuel (kerosene),L,0.42,8/15/2016
8/15/2016,Jarash,non-food,Fuel (petrol-gasoline),L,0.56,8/15/2016
8/15/2016,Maan,non-food,Fuel (gas),12.5 KG,7,8/15/2016
8/15/2016,Maan,non-food,Fuel (kerosene),L,0.42,8/15/2016
8/15/2016,Maan,non-food,Fuel (petrol-gasoline),L,0.56,8/15/2016
8/15/2016,Madaba,non-food,Fuel (gas),12.5 KG,7,8/15/2016
8/15/2016,Madaba,non-food,Fuel (kerosene),L,0.42,8/15/2016
8/15/2016,Madaba,non-food,Fuel (petrol-gasoline),L,0.56,8/15/2016
8/15/2016,Zarqa,non-food,Fuel (gas),12.5 KG,7,8/15/2016
8/15/2016,Zarqa,non-food,Fuel (kerosene),L,0.42,8/15/2016
8/15/2016,Zarqa,non-food,Fuel (petrol-gasoline),L,0.56,8/15/2016
9/15/2016,National Average,cereals and tubers,Bread (pita),KG,0.17,9/15/2016
9/15/2016,National Average,cereals and tubers,Bulgur,KG,0.93,9/15/2016
9/15/2016,National Average,cereals and tubers,Pasta,KG,0.34,9/15/2016
9/15/2016,National Average,cereals and tubers,Potatoes,KG,0.79,9/15/2016
9/15/2016,National Average,cereals and tubers,Rice (imported),KG,1.24,9/15/2016
9/15/2016,National Average,"meat, fish and eggs",Eggs,2 KG,2.43,9/15/2016
9/15/2016,National Average,"meat, fish and eggs","Fish (tuna, canned)",170 G,0.97,9/15/2016
9/15/2016,National Average,"meat, fish and eggs",Meat (beef),KG,8.27,9/15/2016
9/15/2016,National Average,"meat, fish and eggs",Meat (chicken),KG,2.34,9/15/2016
9/15/2016,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.24,9/15/2016
9/15/2016,National Average,"meat, fish and eggs",Meat (lamb),KG,10.55,9/15/2016
9/15/2016,National Average,milk and dairy,Cheese (picon),KG,0.73,9/15/2016
9/15/2016,National Average,milk and dairy,"Cheese (white, boiled)",KG,5.22,9/15/2016
9/15/2016,National Average,milk and dairy,Milk (pasteurized),L,1.16,9/15/2016
9/15/2016,National Average,miscellaneous food,Sugar,KG,0.72,9/15/2016
9/15/2016,National Average,oil and fats,Oil (olive),KG,5.4,9/15/2016
9/15/2016,National Average,oil and fats,Oil (vegetable),1.8 L,1.88,9/15/2016
9/15/2016,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.43,9/15/2016
9/15/2016,National Average,pulses and nuts,Chickpeas,KG,1.62,9/15/2016
9/15/2016,National Average,pulses and nuts,Lentils,KG,1.29,9/15/2016
9/15/2016,National Average,vegetables and fruits,Apples (red),KG,1.5,9/15/2016
9/15/2016,National Average,vegetables and fruits,Bananas,KG,0.8,9/15/2016
9/15/2016,National Average,vegetables and fruits,Cucumbers,KG,0.57,9/15/2016
9/15/2016,National Average,vegetables and fruits,Garlic,KG,2.65,9/15/2016
9/15/2016,National Average,vegetables and fruits,Onions,KG,0.56,9/15/2016
9/15/2016,National Average,vegetables and fruits,Oranges (big size),KG,1.1,9/15/2016
9/15/2016,National Average,vegetables and fruits,Spinach,KG,0.58,9/15/2016
9/15/2016,National Average,vegetables and fruits,Tomatoes,KG,0.41,9/15/2016
9/15/2016,Ajloun,non-food,Fuel (gas),12.5 KG,7,9/15/2016
9/15/2016,Ajloun,non-food,Fuel (kerosene),L,0.42,9/15/2016
9/15/2016,Ajloun,non-food,Fuel (petrol-gasoline),L,0.56,9/15/2016
9/15/2016,Al Aqaba,non-food,Fuel (gas),12.5 KG,7,9/15/2016
9/15/2016,Al Aqaba,non-food,Fuel (kerosene),L,0.42,9/15/2016
9/15/2016,Al Aqaba,non-food,Fuel (petrol-gasoline),L,0.56,9/15/2016
9/15/2016,Al Balqa,non-food,Fuel (gas),12.5 KG,7,9/15/2016
9/15/2016,Al Balqa,non-food,Fuel (kerosene),L,0.42,9/15/2016
9/15/2016,Al Balqa,non-food,Fuel (petrol-gasoline),L,0.56,9/15/2016
9/15/2016,Al Karak,non-food,Fuel (gas),12.5 KG,7,9/15/2016
9/15/2016,Al Karak,non-food,Fuel (kerosene),L,0.42,9/15/2016
9/15/2016,Al Karak,non-food,Fuel (petrol-gasoline),L,0.56,9/15/2016
9/15/2016,Al Mafraq,non-food,Fuel (gas),12.5 KG,7,9/15/2016
9/15/2016,Al Mafraq,non-food,Fuel (kerosene),L,0.42,9/15/2016
9/15/2016,Al Mafraq,non-food,Fuel (petrol-gasoline),L,0.56,9/15/2016
9/15/2016,Al Tafilah,non-food,Fuel (gas),12.5 KG,7,9/15/2016
9/15/2016,Al Tafilah,non-food,Fuel (kerosene),L,0.42,9/15/2016
9/15/2016,Al Tafilah,non-food,Fuel (petrol-gasoline),L,0.56,9/15/2016
9/15/2016,Amman,non-food,Fuel (gas),12.5 KG,7,9/15/2016
9/15/2016,Amman,non-food,Fuel (kerosene),L,0.42,9/15/2016
9/15/2016,Amman,non-food,Fuel (petrol-gasoline),L,0.56,9/15/2016
9/15/2016,Irbid,non-food,Fuel (gas),12.5 KG,7,9/15/2016
9/15/2016,Irbid,non-food,Fuel (kerosene),L,0.42,9/15/2016
9/15/2016,Irbid,non-food,Fuel (petrol-gasoline),L,0.56,9/15/2016
9/15/2016,Jarash,non-food,Fuel (gas),12.5 KG,7,9/15/2016
9/15/2016,Jarash,non-food,Fuel (kerosene),L,0.42,9/15/2016
9/15/2016,Jarash,non-food,Fuel (petrol-gasoline),L,0.56,9/15/2016
9/15/2016,Maan,non-food,Fuel (gas),12.5 KG,7,9/15/2016
9/15/2016,Maan,non-food,Fuel (kerosene),L,0.42,9/15/2016
9/15/2016,Maan,non-food,Fuel (petrol-gasoline),L,0.56,9/15/2016
9/15/2016,Madaba,non-food,Fuel (gas),12.5 KG,7,9/15/2016
9/15/2016,Madaba,non-food,Fuel (kerosene),L,0.42,9/15/2016
9/15/2016,Madaba,non-food,Fuel (petrol-gasoline),L,0.56,9/15/2016
9/15/2016,Zarqa,non-food,Fuel (gas),12.5 KG,7,9/15/2016
9/15/2016,Zarqa,non-food,Fuel (kerosene),L,0.42,9/15/2016
9/15/2016,Zarqa,non-food,Fuel (petrol-gasoline),L,0.56,9/15/2016
